power on off,0000 006D 0022 0002 0157 00B5 0014 0043 0014 0017 0014 0017 0014 0018 0014 0017 0014 0017 0014 0042 0014 0043 0014 0017 0014 0017 0014 0043 0014 0017 0014 0017 0014 0017 0014 0043 0014 0017 0014 0042 0014 0018 0014 0042 0014 0017 0014 0018 0014 0017 0014 0017 0014 0042 0014 0018 0014 0042 0014 0017 0014 0043 0014 0042 0014 0042 0014 0043 0014 0017 0014 0626 0158 0057 0014 0E2F

volume down,0000 006D 0022 0002 0157 00B5 0014 0042 0014 0017 0014 0018 0014 0017 0014 0017 0014 0017 0014 0043 0014 0042 0014 0017 0014 0018 0014 0042 0014 0017 0014 0017 0014 0018 0014 0042 0014 0017 0014 0043 0014 0017 0014 0042 0014 0018 0014 0017 0014 0017 0014 0042 0014 0043 0014 0017 0014 0042 0014 0018 0014 0042 0014 0042 0014 0043 0014 0017 0014 0017 0014 0623 0157 0057 0014 0E2A
volume up,0000 006D 0022 0002 0157 00B5 0014 0043 0014 0017 0014 0017 0014 0018 0014 0017 0014 0017 0014 0042 0014 0043 0014 0017 0014 0017 0014 0043 0014 0017 0014 0017 0014 0017 0014 0043 0014 0017 0014 0042 0014 0018 0014 0042 0014 0017 0014 0018 0014 0017 0014 0042 0014 0017 0014 0018 0014 0042 0014 0017 0014 0043 0014 0042 0014 0042 0014 0018 0014 0042 0014 0624 0157 0057 0014 0E2C

input digital optical,0000 006D 0022 0002 0157 00B5 0014 0042 0014 0017 0014 0017 0014 0018 0014 0017 0014 0017 0014 0043 0014 0042 0014 0017 0014 0017 0014 0043 0014 0017 0014 0017 0014 0018 0014 0042 0014 0017 0014 0042 0015 0042 0014 0017 0014 0017 0014 0043 0014 0042 0014 0017 0014 0018 0014 0017 0014 0017 0014 0042 0014 0043 0014 0017 0014 0017 0014 0043 0014 0042 0014 0623 0157 0057 0014 0E29
input aux,0000 006D 0022 0002 0158 00B5 0014 0042 0014 0017 0014 0018 0014 0017 0014 0017 0014 0017 0014 0043 0014 0042 0014 0017 0014 0018 0014 0042 0014 0017 0014 0017 0014 0018 0014 0042 0014 0017 0014 0043 0014 0042 0014 0017 0014 0018 0014 0042 0014 0017 0014 0017 0014 0018 0014 0017 0014 0017 0014 0043 0014 0042 0014 0017 0014 0042 0014 0043 0014 0042 0014 0624 0157 0057 0014 0E2C
input bluetooth,0000 006D 0022 0002 0157 00B5 0014 0042 0014 0017 0014 0018 0014 0017 0014 0017 0014 0017 0014 0043 0014 0042 0014 0017 0014 0018 0014 0042 0014 0017 0014 0017 0014 0018 0014 0042 0014 0017 0014 0043 0014 0042 0014 0017 0014 0018 0014 0042 0014 0017 0014 0042 0014 0018 0014 0017 0014 0017 0014 0043 0014 0042 0014 0017 0014 0043 0014 0017 0014 0042 0014 0623 0157 0057 0014 0E2A

play pause,0000 006D 0022 0002 0158 00B5 0014 0042 0014 0018 0014 0017 0014 0017 0014 0017 0015 0017 0014 0042 0014 0042 0014 0018 0014 0017 0014 0042 0014 0018 0014 0017 0014 0017 0014 0042 0014 0018 0014 0042 0014 0017 0014 0043 0014 0042 0014 0017 0014 0018 0014 0017 0014 0017 0014 0017 0014 0043 0014 0017 0014 0017 0014 0043 0014 0042 0014 0042 0014 0043 0014 0622 0158 0057 0014 0E2C
track next,0000 006D 0022 0002 0158 00B5 0014 0042 0014 0017 0014 0018 0014 0017 0014 0017 0014 0018 0014 0042 0014 0042 0014 0017 0014 0018 0014 0042 0014 0017 0014 0018 0014 0017 0014 0042 0014 0017 0014 0043 0014 0017 0014 0042 0014 0018 0014 0017 0014 0042 0014 0018 0014 0017 0014 0017 0014 0042 0014 0018 0014 0042 0014 0042 0014 0018 0014 0042 0014 0042 0014 0625 0158 0057 0014 0E2F
track previous,0000 006D 0022 0002 0158 00B5 0014 0042 0014 0018 0014 0017 0014 0017 0014 0017 0014 0018 0014 0042 0014 0042 0014 0018 0014 0017 0014 0042 0014 0017 0014 0018 0014 0017 0014 0042 0014 0018 0014 0042 0014 0017 0014 0043 0014 0017 0014 0017 0014 0042 0014 0018 0014 0042 0014 0017 0014 0043 0014 0017 0014 0042 0014 0043 0014 0017 0014 0042 0014 0017 0014 0624 0158 0057 0014 0E2C
